"unique_trial_id","subject_id","RT","correctness","mousetrackingDuration","movementDirection","exemplar","traveledDistance","trial_type","MAD","AUC","xpos_flips","ypos_flips","initiation_time","total_dist","prototype_label","z_AUC","z_RT","z_initiation_time"
"540",2067,2364,"Correct",1849,53.23551679,"London",52,"Typical",73.9530366427884,30070.5,0,0,1203,801.358788727105,"straight",-0.770781050024026,-1.22337168192203,-0.78394517684092
"541",2067,4072,"Correct",3944,58.82166309,"Barcelona",82,"Atypical",-29.0783224814793,-10917,0,0,3110,712.610339649731,"straight",-1.4213373126095,0.273148609002624,0.991894084769391
"542",2067,5332,"Correct",4129,64.21894944,"Sydney",87,"Atypical",80.1977515619701,30590.5,0,0,3240,744.204816842565,"straight",-0.76252757624435,0.405299565480458,1.11295287030129
"543",2067,2532,"Correct",2474,74.67800377,"Paris",81,"Typical",365.687845622273,123194.5,1,2,1080,1075.8122893585,"cCoM",0.707289127396147,-0.776915747875299,-0.898485412382644
"544",2067,4290,"Correct",4035,51.72431012,"Beijing",79,"Atypical",105.78393547569,40679,2,0,3330,854.025092748999,"straight",-0.602402248886167,0.338152592999829,1.19676279874646
"545",2067,2348,"Correct",2283,53.23501554,"Las Vegas",57,"Typical",87.2926297673224,45579,1,0,1390,825.692882248924,"straight",-0.524629130577688,-0.913352681319981,-0.609806769960412
"546",2067,3691,"Correct",3611,51.83716795,"Salzburg",79,"Typical",83.9288016029093,30731,1,0,2610,858.10116551707,"straight",-0.760297551117342,0.0352768873425235,0.526283371185146
"547",2067,4551,"Correct",4480,52.97391368,"Ottawa",80,"Atypical",93.1352224654973,38816,1,0,3780,861.971304197484,"straight",-0.631971905908351,0.656029218041105,1.61581244097228
"549",2067,2444,"Correct",2334,62.26380649,"Moscow",71,"Typical",647.561877026293,169839,3,3,720,1696.98660836042,"cCoM",1.44763366146551,-0.876921877101768,-1.2337251261633
"550",2067,4907,"Correct",4684,70.26445504,"Rio de Janeiro",100,"Atypical",351.386517412221,180642,1,1,2070,1090.12123292879,"cCoM",1.61909957923826,0.80175243491396,0.0234238005141613
"551",2067,3614,"Correct",3567,60.39882915,"Berlin",61,"Typical",214.122468153708,105434.5,0,1,2160,933.604614846333,"curved",0.425401253690311,0.00384638958563332,0.107233728959325
"552",2066,2581,"Correct",2422,61.33246539,"Barcelona",83,"Atypical",210.449109019589,110658,3,2,0,1018.87348638525,"curved",1.20245473468017,0.209365532184548,-0.288675134594813
"553",2066,2380,"Correct",2102,50.01329714,"Rio de Janeiro",57,"Atypical",-139.749903740814,-61518.5,1,0,0,940.254744388076,"straight",-1.02142152550401,-0.0868627815916733,-0.288675134594813
"554",2066,1689,"Correct",1512,50.33934879,"Moscow",44,"Typical",108.535294596489,57010.5,0,1,0,955.174102389835,"straight",0.509529732323691,-0.633033735116581,-0.288675134594813
"556",2066,2208,"Correct",1954,56.69115006,"Las Vegas",65,"Typical",-72.7932516939643,-33556.5,2,2,0,826.494791345798,"straight",-0.660257092568794,-0.223868376713175,-0.288675134594813
"558",2066,1652,"Correct",1438,48.33073374,"London",45,"Typical",94.3972770694773,43583,0,0,0,945.752393067632,"straight",0.336096665188378,-0.701536532677332,-0.288675134594813
"559",2066,1450,"Correct",1171,54.26980337,"Rom",34,"Typical",-27.4464403168563,-3548.5,0,0,0,834.336030058021,"straight",-0.27266599380905,-0.948702031984366,-0.288675134594813
"560",2066,1235,"Correct",1059,53.99854458,"Paris",37,"Typical",66.5708893998529,33635,0,0,0,850.567786294855,"straight",0.207605721091407,-1.05238194180604,-0.288675134594813
"561",2066,5312,"Correct",4585,48.87607051,"Beijing",111,"Atypical",-79.5900589087001,-39399,2,0,0,872.986967799798,"straight",-0.7357203355208,2.21168379061569,-0.288675134594813
